mot_patois,SENS,Historique_alternative,Phonetique,traduction_francaise
Abominer,"Exécrer, détester "," (Gallet, 1868) Abominer, du latin abominari. On se sert plus souvent du mot achoyer.",,"Exécrer, détester "
Aborde,Béquille,"(Gallet, 1868) Aborde (Marcher avec ine) : I pé pu aller sans abordes.",,Béquille
Abrier,"Couvrir , abriter","(Gallet, 1868) Abrier, du français abri : O fait béa s'abrier de tchiau temps",,"Couvrir , abriter"
Aburer,"Sécher, égoutter, assécher","(Gallet, 1868) Aburer : La mer abure pouët anet",,"Sécher, égoutter, assécher"
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,"(Gallet, 1868)",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
